Month,Average EV Price,New Car Average
Jan-20,"$54,669 ","$38,747 "
Feb-20,"$56,326 ","$38,550 "
Mar-20,"$56,059 ","$38,812 "
Apr-20,"$57,757 ","$39,904 "
May-20,"$58,863 ","$39,138 "
Jun-20,"$57,480 ","$39,731 "
Jul-20,"$57,346 ","$39,512 "
Aug-20,"$57,346 ","$39,571 "
Sep-20,"$54,381 ","$40,159 "
Oct-20,"$52,947 ","$40,770 "
Nov-20,"$53,117 ","$40,937 "
Dec-20,"$53,811 ","$41,335 "
Jan-21,"$57,750 ","$41,248 "
Feb-21,"$57,491 ","$41,366 "
Mar-21,"$56,503 ","$40,680 "
Apr-21,"$56,059 ","$41,172 "
May-21,"$56,140 ","$41,534 "
Jun-21,"$58,914 ","$42,633 "
Jul-21,"$56,110 ","$43,056 "
Aug-21,"$57,540 ","$43,418 "
Sep-21,"$56,312 ","$45,031 "
Oct-21,"$55,625 ","$46,026 "
Nov-21,"$56,437 ","$46,329 "
Dec-21,"$63,821 ","$47,243 "
Jan-22,"$62,876 ","$46,404 "
Feb-22,"$64,807 ","$46,082 "
Mar-22,"$66,386 ","$46,223 "
Apr-22,"$65,094 ","$46,676 "
May-22,"$64,553 ","$47,275 "
Jun-22,"$66,997 ","$48,043 "
Jul-22,"$66,645 ","$48,182 "
Aug-22,"$66,524 ","$48,301 "
Sep-22,"$65,291 ","$48,094 "
Oct-22,"$64,249 ","$48,281 "
Nov-22,"$65,041 ","$48,681 "
Dec-22,"$61,448 ","$49,507 "
Jan-23,"$58,725 ","$49,388 "
Feb-23,"$58,385 ","$48,763 "
